1,1160
2,1171
3,1165
4,1166
5,1155
6,1177
7,1155
8,1159
9,1160
10,1149
11,1159
12,1156
13,1159
14,1165
15,1157
16,1152
17,1158
18,1154
19,1154
20,1153
21,1156
22,1155
23,1155
24,1156
25,1158
26,1156
27,1155
28,1160
29,1165
30,1155
31,1154
32,1158
33,1157
34,1166
35,1160
36,1160
37,1162
38,1168
39,1165
40,1156
41,1154
42,1159
43,1170
44,1170
45,1168
46,1164
47,1204
48,1193
49,1191
50,1176
51,1167
52,1223
53,1206
54,1185
55,1159
56,1158
57,1162
58,1158
59,1166
60,1168
61,1170
62,1163
63,1162
64,1165
65,1156
66,1168
67,1161
68,1163
69,1161
70,1167
71,1178
72,1174
73,1153
74,1153
75,1152
76,1152
77,1154
78,1158
79,1159
80,1152
81,1153
82,1152
83,1156
84,1159
85,1156
86,1159
87,1151
88,1154
89,1155
90,1154
91,1161
92,1192
93,1154
94,1151
95,1153
96,1159
97,1158
98,1160
99,1160
100,1157
