1,23900
2,23904
3,23940
4,23872
5,24053
6,23904
7,23988
8,23940
9,23974
10,23877
11,23726
12,23777
13,23754
14,23722
15,23773
16,23768
17,23719
18,23783
19,23755
20,23766
21,23771
22,23855
23,23977
24,24013
25,23786
26,23946
27,23967
28,23832
29,24003
30,23961
31,23984
32,24088
33,23810
34,23831
35,23822
36,23792
37,23810
38,23783
39,23809
40,23835
41,23899
42,23852
43,23825
44,23813
45,23771
46,23767
47,23764
48,23830
49,23888
50,23808
51,23839
52,23817
53,23788
54,23843
55,23799
56,23794
57,23819
58,23806
59,24054
60,23873
61,23823
62,23842
63,23823
64,23833
65,23883
66,23869
67,23821
68,23843
69,23846
70,23791
71,23810
72,23797
73,23812
74,23870
75,23869
76,23838
77,23882
78,23843
79,23839
80,23835
81,23845
82,23922
83,23819
84,23834
85,23892
86,23903
87,23822
88,23920
89,23818
90,23800
91,23790
92,23820
93,23815
94,23814
95,23763
96,23848
97,23812
98,23804
99,23854
100,23847
