1,923
2,908
3,910
4,921
5,905
6,916
7,900
8,903
9,901
10,921
11,910
12,901
13,910
14,903
15,923
16,921
17,908
18,905
19,902
20,903
21,911
22,907
23,906
24,908
25,919
26,904
27,911
28,915
29,902
30,917
31,911
32,912
33,907
34,912
35,908
36,903
37,909
38,901
39,908
40,915
41,928
42,926
43,916
44,913
45,909
46,902
47,908
48,911
49,911
50,918
51,909
52,902
53,920
54,908
55,905
56,906
57,905
58,916
59,915
60,905
61,912
62,914
63,903
64,917
65,904
66,902
67,904
68,933
69,906
70,905
71,904
72,906
73,907
74,907
75,904
76,918
77,907
78,909
79,902
80,931
81,904
82,908
83,907
84,904
85,912
86,917
87,904
88,924
89,903
90,908
91,903
92,912
93,908
94,906
95,930
96,959
97,920
98,912
99,904
100,905
